Manufacturer,Avnet Americas,Avnet Asia,Newark,Farnell,Element 14,Silica,EBV,Abacus,Entity Count,Source Names
CTL,,,,X,,,,,1,
CTS,X,X,,,,,,X,3,"CTS (Maglab, QTI, TEWA, Tusonix)"
CUI Inc,,,X,X,X,,,X,4,CUI
"CUI, a bel company",X,,,,,,,,1,
CUSTOM COMPUTER SERVICES,,,,X,,,,,1,
Custom Power,X,,,,,,,,1,
CviLux,X,,,,,,,X,2,
Cyberpower Systems,,,X,,,,,,1,
Cymbet,,X,,,,,,,1,
Cynergy3,,,X,X,,,,,2,
Cyntec,,,,,,,,X,1,
Cyntech,,,X,,,,,,1,
Cypress,,,,X,,,,,1,
Cypress - An Infineon Technologies Company,,,X,,,,,,1,
Daniels,,,X,X,X,,,,3,
Danisense,,,X,X,X,,,,3,
"Dantona Industries, Inc.",,,X,,,,,,1,
Datacomm Electronics,,,X,,,,,,1,
Dataman,,,X,,,,,,1,
Dataram,X,,,,,,,,1,
Davies Molding,,,X,,X,,,,2,
Dawar Technologies,X,,,,,,,,1,
Dearborn/CDT,,,X,,,,,,1,
Defender Security,,,X,,,,,,1,
Delkin Devices,X,X,X,X,X,X,,,6,
Dell Technologies,X,,,,,,,,1,
Delta Electronics,X,X,,,,X,,X,4,Delta
Delta Electronics / Fans,,,X,,,,,,1,
Delta Electronics/Power,,,X,X,X,,,X,4,Delta Electronics / Power; Delta Power
Deltron,,,,X,X,,,,2,
Densitron,,,X,,,,,,1,
Desco Europe/SCS,,,,X,X,,,,2,
"Desco, Inc.",,,X,,,,,,1,
Design Gateway,,X,,,,,,,1,
Deutsch,,,X,X,X,,,,3,
Dewalt,,,X,,,,,,1,
DF Robot,,,,X,X,,,,2,DF ROBOT
DFI-Itox,X,,,,,,,,1,
DFRobot,,,X,,,,,,1,
Dialight,,,X,X,X,,,,3,
Dialog,X,,,,,,,,1,
Dialog Semiconductor - A Renesas Company,,,X,,,,,,1,
Digi International,X,X,,,,X,,,3,
Digilent,,X,X,X,X,,,,4,Digilent Inc.
Digital Innovations,,,X,,,,,,1,
Digital View,X,,,,,,,,1,
DigitalPersona,,X,,,,,,,1,
Digithead,,,X,,,,,,1,
Digitron,,,,X,X,,,,2,
Diodes Incorporated,X,X,X,X,X,X,,,6,"Diodes; Diodes Inc.; Diodes, Inc."
Dioo,,X,,,,,,,1,
DIOTEC Semiconductor,,,X,,,,,,1,
Diptronics,,,,,,,,X,1,
Display Logic,X,,,,,,,,1,
DLC Display,X,,,,,,,,1,
DMC,,,,,,,,X,1,
Dongean Optical,,,X,,,,,,1,
Dongguan China Advanced Ceramic Technology(CACT),,X,,,,,,,1,
Dow,,,,X,X,,,,2,
Dowsil,,,X,,,,,,1,
Dragonchip,,X,,,,,,,1,
Draka,,,,X,,,,,1,
Dremel,,,X,,,,,,1,
Dual-Lite/Prescolite LSP,,,X,,,,,,1,
Ducati,,,,X,X,,,,2,
Duracell,,X,X,X,X,,,,4,
Durakool,,,X,,,,,,1,
Duratool,,,X,X,X,,,,3,Duratool®
Dwyer,,,X,X,,,,,2,
DwyerOmega,X,,,,,,,,1,
DYMO,,,X,X,X,,,,3,Dymo
E Ink,X,,,,,,,,1,
E-Switch,,,X,X,X,,,,3,
E3 Displays,X,,,,,,,,1,
EA Elektro-Automatik,,,X,X,X,,,,3,EA - Elektro Automatik
Eagle Signal Controls,,,X,,,,,,1,
EAO,,,,X,X,,,,2,
EAO Switch Corporation,,,X,,,,,,1,
Easy-Up,,,X,,,,,,1,
Easybraid,,,X,,,,,,1,
Eaton,X,,X,X,X,,,X,5,Eaton (Cooper Bussman); Eaton Electronics
Eaton Bussmann,,,,,X,,,,1,
Eaton Electrical,,,X,,,,,,1,
Eaton eMobility,,,X,,,,,,1,
Eaton Interconnect,,,X,,,,,,1,
EATON MOELLER,,,,X,,,,,1,
Eaton Power Control,,,X,,,,,,1,
Eaton Tripp Lite,,,,,X,,,,1,
Eaton/Bussman,,,X,,,,,,1,
Eaton/Coiltronics,,,X,,,,,,1,
Eaton/Crouse Hinds,,,X,,,,,,1,
EBM Papst,X,,X,X,X,,,X,5,ebm papst; ebm-papst
Ecliptek,,,X,,,,,,1,
ECS,X,X,,,,,,X,3,ECS Inc.
ED2 Corp.,X,,,,,,,,1,
Edac,,,X,X,X,,,,3,Edac Inc.
Edge I&D,X,,,,,,,,1,
Edgecore Networks,X,,,,,,,,1,
Edimax,,,X,,,,,,1,
Edsyn,,,X,X,X,,,,3,EDSYN
Edwards Signaling,,,X,,,,,,1,
EGS Electrical Group,,,X,,,,,,1,
Egston - Pulse,,,,,,,,X,1,
EiKO,,,X,,,,,,1,
EIZO Technologies,X,,,,,,,,1,
ELC,,,,,X,,,,1,
Elditest,,,,,X,,,,1,
Electri-Flex Company,,,X,,,,,,1,
Electrolube,,,X,X,X,,,,3,
Electronic Hardware Corp.,,,X,,,,,,1,
Electroswitch,,,X,,,,,,1,
Elenco,,,X,,,,,,1,
Elesta Relays,,,X,,,,,,1,
Elitegroup Computer Systems,X,,,,,,,,1,
Elk Products,,,X,,,,,,1,
Elkay,,,,X,X,,,,2,
Elmos,,,,,,X,,,1,
Elmos Semiconductor SE,X,,,,,,,,1,
Elo Touch Solutions,X,,,,,,,,1,
Ember,,X,,,,,,,1,
Emerson Network Power,,X,,,,,,,1,
EMIT,,,X,,,,,,1,
Emulation Technology Inc.,,,X,,,,,,1,
Enclustra,,,,,,,X,,1,
Endicott Research Group (ERG),X,,,,,,,,1,
Endress + Hauser,,,X,X,,,,,2,
Enegizer,,,,X,,,,,1,
Energenie,,,X,,,,,,1,
Energizer®,,,X,,,,,,1,
EnerSys,,,X,,,,,X,2,Enersys
Engicam,,,,,,,,X,1,
EnOcean,,,X,,X,,,,2,Enocean
Entertainment@Amphenol,,,X,,,,,,1,
Entrelec Uk,,,,X,X,,,,2,
EOS Power,,,,X,,,,,1,
EPC Space,X,,,,,,,,1,
EPCOS (TDK),,X,X,X,X,,,,4,Epcos; EPCOS
EPIC,,,,X,X,,,,2,
Epishine,,,,X,X,,,,2,
Epson,,X,,X,X,,,,3,
EPT,,,,X,X,,,,2,
Equinox,,,X,,,,,,1,
Ericsson,X,,,,,X,,,2,
Ericsson Power Modules,,X,,,,,,,1,
Ersa,,,,X,X,,,,2,
Espressif,,,,,,,X,,1,
Essentra,,,X,,,,,,1,
Esterline Power Systems (Leach Int'l.),X,,,,,,,,1,
ETAL,,,,X,X,,,,2,
ETI Systems,,,X,,,,,,1,
Euroquartz,,,,X,X,,,,2,
EuroTec International,,,X,,,,,,1,
Eurotech,X,,,,,,,,1,
Eurotherm by Schneider Electric,,,X,,,,,,1,
EV Group (EVG),X,,,,,,,,1,
Eve Energy,,,,,,,,X,1,
Eveready,,,X,,,,,,1,
Everett Charles Technologies / Cohu,,,X,,,,,,1,
Everlight,X,X,,,,,X,,3,EVERLIGHT Electronic; Everlight Electronics
Everspin,,,,,,,X,,1,
Evervision,,,,,,,,X,1,
EVGA,X,,,,,,,,1,
Evox Rifa,,,X,,,,,,1,
Excelitas Tech,,,X,,,,,,1,
"Excelsys, an Advanced Energy Co.",X,,,,,,,,1,
Excelta,,,X,,,,,,1,
Extech Instruments,,,X,X,X,,,,3,
Eyesaver International,X,,,,,,,,1,
EZ-FLO,,,X,,,,,,1,
ezurio,,,,,,,X,,1,
Fair-Rite,,,X,X,X,,,,3,
Fairview Microwave,,,X,,,,,,1,
Fanstel,X,,,,,,,,1,
Fayalab,,,X,,,,,,1,
FCI,,X,,,,,,,1,
"FCI, an Amphenol co.",X,,,,,,,,1,
FCL Components,X,,,,,,,X,2,
FCT - A Molex Company,,,X,,,,,,1,
Federal Molding,X,,,,,,,,1,
Feit Electric,,,X,,,,,,1,
Ferroxcube,,,,X,X,,,X,3,
Festo,,,,X,X,,,,2,
Fibox,,,X,X,X,,,,3,
Filamentive,,,X,,,,,,1,
Filconn,,,X,,,,,,1,
Finder,,,,X,X,,,,2,
Finder Relays,,,X,,,,,,1,
Finisar,,X,,,,,,,1,
"Finisar, a Coherent co.",X,,,,,,,,1,
Fischer Elektronik,,,X,X,X,,,,3,
Fiskars,,,X,,,,,,1,
Flambeau,,,X,,,,,,1,
Flex,,X,,,,,,,1,
Flex Lighting Solutions,X,,,,,,,,1,
Flex Power Modules,,,,,,,,X,1,
Flip Electronics,X,,,,,,,,1,
Flir,,,,X,,,,,1,
Florida RF Labs,,X,,,,,,,1,
Fluke,,,X,X,X,,,,3,
Fluke Calibration,,,X,X,X,,,,3,
Fluke Networks,,,X,X,X,,,,3,
Flusso,,,X,X,X,,,,3,
Fordata,,,X,,,,,,1,
Forge,,,,X,,,,,1,
ForgeLight Energy,,,,,X,,,,1,
Fortex,,,,X,X,,,,2,
Fox Electronics,,X,X,X,X,,,,4,Fox
Foxconn,,,X,,,,,X,2,
Foxconn advanced,,X,,,,,,,1,
FRACTUS S.A.,,X,,,,,,,1,
Friwo,,,,X,X,,,,2,
FTDI,,,X,X,X,,,,3,
Fuji Electric,,,X,,,,,,1,
Fujipoly,,X,,,,,,,1,
Fujitsu,,X,X,X,X,,,,4,
Future Communications IC,,X,,,,,,,1,
Future Designs,X,,,,,,,,1,
GaffGun,,,X,,,,,,1,
Gaggione,,,,,,X,,,1,
Gardtec,,,X,,,,,,1,
Garrett,,,X,,,,,,1,
Gateworks,X,,,,,,,,1,
GCT (Global Connector Technology),,,X,X,X,,,,3,GCT
GE Power,,X,,,,,,,1,
Gedore,,,,X,X,,,,2,GEDORE
GEMS Sensors,,,,X,X,,,,2,
"Gems Sensors & Controls, Inc.",,,X,,,,,,1,
General Cable,,,X,,,,,,1,
General Devices,,,X,,,,,,1,
General Electrical Touch,X,,,,,,,,1,
General Tools,,,X,,,,,,1,
GeneralTouch Technology,,,,,,,,X,1,
Genesic,,,X,X,X,,,,3,Genesic Semiconductor; GenesSiC Semi
Genteq,,,X,,,,,,1,
GET,,,,,,,,X,1,
GIGABYTE Global,X,,,,,,,,1,
GigaIPC,,,,,,,,X,1,
GigOptix,,X,,,,,,,1,
Gizmosphere,,,X,,,,,,1,
Glenair,X,X,X,X,X,,,X,6,
Global Mixed-mode,,X,,,,,,,1,
Global Specialties,,,X,,,,,,1,
Gold Line,,,X,,,,,,1,
GOLDX,,,X,,,,,,1,
Gowanda,,,,,,,,X,1,
GP Batteries,,,,,,,,X,1,
GP Battery,,X,,,,,,,1,
Grace Technologies,,,X,,,,,,1,
GraspIO,,,X,,,,,,1,
Grayhill,X,,X,X,X,,,X,5,Grayhill Inc.
Greenconn,X,X,,,,,,X,3,
Greenlee,,,X,,,,,,1,
Greenlee Communications,,,,X,X,,,,2,
Greenliant,X,X,,,,X,,,3,
GRI,,,X,,,,,,1,
Grip Tools,,,X,,,,,,1,
Groupgets LLC,,,X,,,,,,1,
GSI Technology,X,X,,,,X,,,3,
Guardian Electric,,,X,,,,,,1,
GUNZE,X,,,,,,,,1,
GW Instek,,,X,X,X,,,,3,
H&D Wireless,,,,,,X,,,1,
Hailo,,,,,,,X,,1,
HALO Electronics,X,,,,,X,,,2,Halo Electronics
Halo Microelectronics,,X,,,,,,,1,
Hamlin,,,,X,,,,,1,
Hammond,,,,X,X,,,,2,
Hammond Manufacturing,,,X,,,,,,1,
Hammond Power Solutions,,,X,X,X,,,,3,
Hand Held Products,X,,,,,,,,1,
Hangman,,,X,,,,,,1,
HannStar,,,,,,,,X,1,
Harmon,,,X,,,,,,1,
Harting,,,X,X,X,,,,3,
Harwin,,X,X,X,X,,,X,5,
Hellermann Tyton,,,,X,X,,,,2,
HellermannTyton,,,X,,,,,,1,
Henkel Loctite,,,,X,X,,,,2,
Herga,,,,X,X,,,,2,
Hewlett Packard (HPE),X,,,,,,,,1,
HID/Crossmatch,X,,,,,,,,1,
Higgstec,X,,,,,,,,1,
High Top Precision Electronic,,X,,,,,,,1,
Hikvision,,,X,,,,,,1,
Hirose,X,X,X,X,,,,X,5,
Hirschmann,,,X,X,X,,,,3,
Hirschmann Test & Measurement,,,,X,X,,,,2,
Hitachi,,,X,,,,,,1,
HKC,X,,,,,,,,1,
Hoffman,,,X,X,X,,,,3,
Hoffman Schroff,,X,,,,,,,1,
HOJY,,X,,,,,,,1,
Holland Electronics,,,X,,,,,,1,
Holtek,,X,,,,,,,1,
Honeywell,,,X,X,X,,,,3,
Horizon Robotics,,X,,,,,,,1,
Hosa,,,X,,,,,,1,
Hoyt Electrical Instruments,,,X,,,,,,1,
